Megnevezés,Referencia,Alsó doboz,Belsõ doboz,Mágneses beállító,Mágneses beállító rugó,Vezérlõkar hirtelenzáró ütközõkilincs nélkül,Vezérlõkar UNI,Vezérlõkar fekete,Mágneses,Termikus,Csatlórúd,Kapocs,Szegecs,Fedõ,Szorító,Központozó gyûrû,Vezérlõkar összekötõ,Vezérlõkar összekötõ csavar,Központi szegecs,Központi csavar,Külsõ doboz
50A C BIP,3599441XA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
50A D BIP,3599441BA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A B TRI ,3599426DA,EEE11467,EEE11468,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A C TRI ,3599432SA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A D TRI ,3599433FA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A INTER TRI ,3599433ZA / 3599429PA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11505,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A B TRI ,3599433PA,EEE11467,EEE11468,51006191AJ,51006192BD,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A C TRI ,3599432FA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A D TRI ,3599431HA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A INTER TRI ,3599433XA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11508,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
